epoch,loss,lr,mae,val_loss,val_lr,val_mae
0,14.275039672851562,1e-04,0.49949911236763,NA,NA,NA
1,13.821084022521973,1e-04,0.49734750390052795,NA,NA,NA
2,13.364598274230957,1e-04,0.49531522393226624,NA,NA,NA
3,12.956561088562012,1e-04,0.4931012988090515,NA,NA,NA
4,12.528975486755371,1e-04,0.4898848235607147,NA,NA,NA
5,12.11968994140625,1e-04,0.4843233525753021,NA,NA,NA
6,11.729055404663086,1e-04,0.4737219512462616,NA,NA,NA
7,11.337512016296387,1e-04,0.4529179334640503,NA,NA,NA
8,10.930623054504395,1e-04,0.4055068790912628,NA,NA,NA
9,10.545760154724121,1e-04,0.31388765573501587,NA,NA,NA
10,10.159615516662598,1e-04,0.22315584123134613,NA,NA,NA
11,9.812068939208984,1e-04,0.13963253796100616,NA,NA,NA
12,9.483162879943848,1e-04,0.09941719472408295,NA,NA,NA
13,9.184657096862793,1e-04,0.07806319743394852,NA,NA,NA
14,8.888729095458984,1e-04,0.06054364889860153,NA,NA,NA
15,8.601366996765137,1e-04,0.058008115738630295,NA,NA,NA
16,8.32407283782959,1e-04,0.061048492789268494,NA,NA,NA
17,8.055480003356934,1e-04,0.057524506002664566,NA,NA,NA
18,7.795880317687988,1e-04,0.04857512190937996,NA,NA,NA
19,7.53657341003418,1e-04,0.0525447316467762,NA,NA,NA
20,7.3029608726501465,1e-04,0.06264735758304596,NA,NA,NA
21,7.064320087432861,1e-04,0.05853493511676788,NA,NA,NA
22,6.837003707885742,1e-04,0.050603948533535004,NA,NA,NA
23,6.618683338165283,1e-04,0.05374715104699135,NA,NA,NA
24,6.399620532989502,1e-04,0.06156431511044502,NA,NA,NA
25,6.190568923950195,1e-04,0.05954381451010704,NA,NA,NA
26,5.985588073730469,1e-04,0.04970109090209007,NA,NA,NA
27,5.794449329376221,1e-04,0.05731136351823807,NA,NA,NA
28,5.602148056030273,1e-04,0.05177532136440277,NA,NA,NA
29,5.423101902008057,1e-04,0.0559295192360878,NA,NA,NA
30,5.241451740264893,1e-04,0.05195476859807968,NA,NA,NA
31,5.071722984313965,1e-04,0.05906442925333977,NA,NA,NA
32,4.903582572937012,1e-04,0.049932196736335754,NA,NA,NA
33,4.743016719818115,1e-04,0.0654577985405922,NA,NA,NA
34,4.591048717498779,1e-04,0.05970822647213936,NA,NA,NA
35,4.435091018676758,1e-04,0.0406886488199234,NA,NA,NA
36,4.28353214263916,1e-04,0.04498250409960747,NA,NA,NA
37,4.143735885620117,1e-04,0.05346556380391121,NA,NA,NA
38,4.003754138946533,1e-04,0.04529283568263054,NA,NA,NA
39,3.869919538497925,1e-04,0.05259891226887703,NA,NA,NA
40,3.746954917907715,1e-04,0.0490938164293766,NA,NA,NA
41,3.6216442584991455,1e-04,0.04663369432091713,NA,NA,NA
42,3.500685214996338,1e-04,0.052933402359485626,NA,NA,NA
43,3.3823533058166504,1e-04,0.04960041865706444,NA,NA,NA
44,3.264514446258545,1e-04,0.04991714656352997,NA,NA,NA
45,3.162524461746216,1e-04,0.05827949568629265,NA,NA,NA
46,3.052403211593628,1e-04,0.0570468045771122,NA,NA,NA
47,2.949749231338501,1e-04,0.048795051872730255,NA,NA,NA
48,2.8495919704437256,1e-04,0.042066577821969986,NA,NA,NA
49,2.7544753551483154,1e-04,0.0499597042798996,NA,NA,NA
50,2.662076234817505,1e-04,0.05086362361907959,NA,NA,NA
51,2.5767102241516113,1e-04,0.049352388828992844,NA,NA,NA
52,2.4881207942962646,1e-04,0.06008007004857063,NA,NA,NA
53,2.408264398574829,1e-04,0.05068310350179672,NA,NA,NA
54,2.323187828063965,1e-04,0.04325098171830177,NA,NA,NA
55,2.244420289993286,1e-04,0.04609578475356102,NA,NA,NA
56,2.170403003692627,1e-04,0.05054599046707153,NA,NA,NA
57,2.0968408584594727,1e-04,0.053556039929389954,NA,NA,NA
58,2.027432918548584,1e-04,0.049824975430965424,NA,NA,NA
59,1.957848310470581,1e-04,0.05920259281992912,NA,NA,NA
60,1.8902084827423096,1e-04,0.04555543139576912,NA,NA,NA
61,1.8313744068145752,1e-04,0.05529414862394333,NA,NA,NA
62,1.7664542198181152,1e-04,0.042548760771751404,NA,NA,NA
63,1.7057372331619263,1e-04,0.04596525430679321,NA,NA,NA
64,1.6485230922698975,1e-04,0.04954429343342781,NA,NA,NA
65,1.5935319662094116,1e-04,0.04578447714447975,NA,NA,NA
66,1.5410460233688354,1e-04,0.047997213900089264,NA,NA,NA
67,1.4861679077148438,1e-04,0.047424450516700745,NA,NA,NA
68,1.4367464780807495,1e-04,0.042848896235227585,NA,NA,NA
69,1.3877943754196167,1e-04,0.051240406930446625,NA,NA,NA
70,1.3418937921524048,1e-04,0.049304183572530746,NA,NA,NA
71,1.298468828201294,1e-04,0.04994399473071098,NA,NA,NA
72,1.2552534341812134,1e-04,0.04818102344870567,NA,NA,NA
73,1.2138885259628296,1e-04,0.05437322333455086,NA,NA,NA
74,1.1716725826263428,1e-04,0.04763525351881981,NA,NA,NA
75,1.131428599357605,1e-04,0.044166553765535355,NA,NA,NA
76,1.0925307273864746,1e-04,0.0423552431166172,NA,NA,NA
77,1.0559841394424438,1e-04,0.04169509559869766,NA,NA,NA
78,1.0212322473526,1e-04,0.04257494583725929,NA,NA,NA
79,0.9862165451049805,1e-04,0.04858936741948128,NA,NA,NA
80,0.9538858532905579,1e-04,0.04799331724643707,NA,NA,NA
81,0.9242771863937378,1e-04,0.049570467323064804,NA,NA,NA
82,0.8923070430755615,1e-04,0.04929651692509651,NA,NA,NA
83,0.8626788258552551,1e-04,0.04933946952223778,NA,NA,NA
84,0.8329408764839172,1e-04,0.041308753192424774,NA,NA,NA
85,0.8048660159111023,1e-04,0.04174560308456421,NA,NA,NA
86,0.7785413265228271,1e-04,0.04746956005692482,NA,NA,NA
87,0.7525574564933777,1e-04,0.046784255653619766,NA,NA,NA
88,0.7289761304855347,1e-04,0.049424849450588226,NA,NA,NA
89,0.7049734592437744,1e-04,0.05074486881494522,NA,NA,NA
90,0.680496335029602,1e-04,0.0428132489323616,NA,NA,NA
91,0.6601507663726807,1e-04,0.04858897998929024,NA,NA,NA
92,0.6388078927993774,1e-04,0.05428314581513405,NA,NA,NA
93,0.6157209873199463,1e-04,0.04025522246956825,NA,NA,NA
94,0.5964761972427368,1e-04,0.04531912878155708,NA,NA,NA
95,0.5770658850669861,1e-04,0.044293470680713654,NA,NA,NA
96,0.558312714099884,1e-04,0.046223726123571396,NA,NA,NA
97,0.5391752123832703,1e-04,0.04200487956404686,NA,NA,NA
98,0.5209019184112549,1e-04,0.03979678824543953,NA,NA,NA
99,0.504653811454773,1e-04,0.041980523616075516,NA,NA,NA
